Category,Subcategory,CategoryNote,Name,Web,Wikipedia,Note
Links,Text Media,,OMG Ubuntu!,https://www.omgubuntu.co.uk/,,
Links,Text Media,,Opensource.com,https://opensource.com/,,Funded by Red hat so slightly biased towards that
Links,Text Media,,Linux.com,https://www.linux.com/,,From the Linux Foundation
Links,Text Media,,It’s FOSS,https://itsfoss.com/,,
Links,Text Media,,Fossbytes,https://fossbytes.com/,,
Links,Text Media,,Phoronix,https://www.phoronix.com/,,
Links,Text Media,,Hacker News,https://news.ycombinator.com/,,
Links,YouTube Channels,,QuidsUp,https://www.youtube.com/user/quidsup,,
Links,YouTube Channels,,Jupiter Broadcasting,https://www.youtube.com/user/jupiterbroadcasting,,
Links,YouTube Channels,,The Linux Experiment,https://www.youtube.com/@TheLinuxEXP,,
Links,YouTube Channels,,Level1Linux,https://www.youtube.com/channel/UCOWcZ6Wicl-1N34H0zZe38w,,
Links,YouTube Channels,,Infinitely Galactic,https://www.youtube.com/@InfinitelyGalactic,,
Links,YouTube Channels,,Gardiner Bryant,https://www.youtube.com/user/tuxreviews/videos,,
Links,YouTube Channels,,Chris Were,https://www.youtube.com/@ChrisWereDigital/videos,,
Links,YouTube Channels,,tutoriaLinux,https://www.youtube.com/@tutoriaLinux/,,
Links,Podcasts,,Linux Lads,https://linuxlads.com/,,Loosely affiliated with our Linux Community
Links,Podcasts,,Jupiter Broadcasting,https://www.jupiterbroadcasting.com/,,"For Linux Unplugged, Self-Hosted, Linux Action News and Coder Radio"
Links,Podcasts,,Late Night Linux,https://latenightlinux.com/,,
Links,Podcasts,,Linux Downtime,https://linuxdowntime.com/,,
Links,Podcasts,,Linux After Dark,https://linuxafterdark.net/,,
Links,Podcasts,,2.5 Admins,https://2.5admins.com/,,
Links,Podcasts,,Bad Voltage,https://www.badvoltage.org/,,
Links,Podcasts,,Destination LInux Network,https://destinationlinux.network/,,"For Destination Linux, Hardware Addicts, This Week in Linux and DLN Xtend"
Links,Gaming on Linux,,Steam,https://store.steampowered.com/,,"Probably the most supported platform, a lot of DRM games"
Links,Gaming on Linux,,protondb,https://www.protondb.com/,,List of Windows games working on Linux under project Proton
Links,Gaming on Linux,,GOG,https://www.gog.com/,,"DRM free, good Linux selection and quite a bit of old Windows games that run very well under Wine"
Links,Gaming on Linux,,itch.io,https://itch.io/,,"open, indie gaming platform"
Links,Gaming on Linux,,Humble Bundle,https://www.humblebundle.com/,,"Used to be really good, now occasionally good, has good DRM free support, now is owned by IGN"
Links,Advice & Learning,,Arch Wiki,https://wiki.archlinux.org/,,"A very good resource even for other distributions, can be quite technical at times"
Links,Advice & Learning,,Ubuntu Forums,https://ubuntuforums.org/,,
Links,Advice & Learning,,Ask Ubuntu,https://askubuntu.com/,,
Links,Advice & Learning,,Stack Overflow,https://stackoverflow.com/,,
Links,Activism & Donations,,EDRI,https://edri.org/take-action/donate/,,European Digital Rights
Links,Activism & Donations,,FSFE,https://my.fsfe.org/donate,,
Links,Activism & Donations,,Digital Rights Ireland,https://digitalrights.ie,,
Links,Activism & Donations,,EFF,https://supporters.eff.org/donate/join-eff-m--m,,
Links,Activism & Donations,,Open Rights Group,https://action.openrightsgroup.org/make-one-donation,,EFF’s sister organisation in the UK
Links,Activism & Donations,,Mozilla Foundation,https://foundation.mozilla.org/en/,,
Links,Activism & Donations,,Apache Foundation,https://www.apache.org/foundation/contributing.html,,
Links,Activism & Donations,,VideoLAN,https://www.videolan.org/contribute.html,,"VLC mainly, but they do a lot of codec development too"
Alternative Cloud Services,Search Engines,,DuckDuckGo,https://duckduckgo.com/,,
Alternative Cloud Services,Search Engines,,Qwant,https://www.qwant.com/,,
Alternative Cloud Services,Search Engines,,StartPage,https://www.startpage.com/,,
Alternative Cloud Services,Search Engines,,SearX,https://searx.thegpm.org/,,
Alternative Cloud Services,Email,,Protonmail,https://proton.me/mail,,
Alternative Cloud Services,Email,,Kolab,https://kolabnow.com/,,
Alternative Cloud Services,Email,,Startmail,https://www.startmail.com/,,
Alternative Cloud Services,Email,,Fastmail,https://www.fastmail.com/,,
Alternative Cloud Services,Email,,Posteo,https://posteo.de/en,,
Alternative Cloud Services,Email,,Lavabit,https://lavabit.com/,,
Alternative Cloud Services,Email,,Tutanota,https://tutanota.com/,,
Alternative Cloud Services,Email,,Migadu,https://www.migadu.com/,,
Alternative Cloud Services,Maps,,OpenStreetMap,https://www.openstreetmap.org/,,
Alternative Cloud Services,Maps,,OpenStreetMap Ireland,https://www.openstreetmap.ie,,
Alternative Cloud Services,Maps,,Here We Go,https://wego.here.com/,,
Alternative Cloud Services,Cloud Storage,,Nextcloud,https://nextcloud.com/,,
Alternative Cloud Services,Cloud Storage,,pCloud,https://www.pcloud.com/eu,,
Alternative Cloud Services,Cloud Storage,,SpiderOak,https://spideroak.com,,
Alternative Cloud Services,Cloud Storage,,Syncthing,https://syncthing.net/,,
Alternative Cloud Services,Cloud Storage,,Seafile,https://www.seafile.com/en/home/,,
Projects for Smartphones,Mobile OS,,LineageOS,https://lineageos.org/,,
Projects for Smartphones,Mobile OS,,Sailfish,https://sailfishos.org/,,
Projects for Smartphones,Mobile OS,,UBports,https://ubports.com/,,
Projects for Smartphones,Mobile OS,,Replicant,https://www.replicant.us/,,
Projects for Smartphones,Mobile OS,,Librem,https://puri.sm/shop/librem-5/,,
Projects for Smartphones,Mobile OS,,Plasma Mobile,https://plasma-mobile.org/,,
Projects for Smartphones,Mobile OS,,GrapheneOS,https://grapheneos.org/,,
Projects for Smartphones,Application Store,,F-Droid,https://f-droid.org/,,
